STATE,UNIT_TYPE,PARKNAME,Shape__Are,mi,km,acres,measure_type
HI,National Historical Park,Kaloko-Honokohau,5746560.766,,,,
HI,National Memorial,Pearl Harbor,101961.2031,,,,
HI,National Park,Haleakala,156331032.4,,,,
HI,National Park,Hawaii Volcanoes,1682971753,,,,
IA,National Historic Site,Herbert Hoover,1357394.578,,,,
IA,National Monument,Effigy Mounds,18954013.43,,,,
ID,National Historic Site,Minidoka,2998805.305,,,,
ID,National Historical Park,Nez Perce,36212452.42,,,,
ID,National Monument,Craters of the Moon,409466801.7,,,,
ID,National Monument,Hagerman Fossil Beds,32934566.83,,,,
ID,National Park,Yellowstone,17557091585,,,,
ID,National Preserve,Craters of the Moon,5317015490,,,,
ID,National Reserve,City of Rocks,106838641.9,,,,
IL,National Historic Site,Ronald Reagan Boyhood Home,7381.070313,,,,
IL,National Historic Site,Lincoln Home,93771.69141,,,,
IL,National Monument,Pullman,2930.1875,,,,
IL,National Park,Gateway Arch,1290994.176,,,,
IL,National Trails Syste,Lewis and Clark,564370.7773,,,,
IN,National Historical Park,George Rogers Clark,161979.5156,,,,
IN,National Memorial,Lincoln Boyhood,1310293.074,,,,
IN,National Park,Indiana Dunes,115487726.5,,,,
KS,National Historic Site,Fort Larned,4625403.875,,,,
KS,National Historic Site,Nicodemus,31196.65625,,,,
KS,National Historic Site,Fort Scott,132981.2656,,,,
KS,National Historical Park,Brown V Board Of Education,13754.13281,,,,
KS,National Preserve,Tallgrass Prairie,71990800.12,,,,
KY,National Battlefield,Fort Donelson,8163037.242,,,,
KY,National Historical Park,Cumberland Gap,153181998.7,,,,
KY,National Historical Park,Abraham Lincoln Birthplace,2186841.285,,,,
KY,National Monument,Camp Nelson,3007931.957,,,,
KY,National Monument,Mill Springs Battlefield,9359463.23,,,,
KY,National Park,Mammoth Cave,330311827.6,,,,
KY,National River,Big South Fork,769133448,,,,
LA,National Historical Park,Cane River Creole,1153290.898,,,,
LA,National Historical Park,New Orleans Jazz,28904.25586,,,,
LA,National Historical Park,Jean Lafitte,117145047,,,,
LA,National Military Park,Vicksburg,14253637.24,,,,
LA,National Monument,Poverty Point,5667480.012,,,,
MA,National Historic Site,Springfield Armory,396708.9102,,,,
MA,National Historic Site,John F Kennedy,644.6367188,,,,
MA,National Historic Site,Salem Maritime,70391.61328,,,,
MA,National Historic Site,Saugus Iron Works,94291.53906,,,,
MA,National Historic Site,Longfellow,14414.01172,,,,
MA,National Historic Site,Boston African American,4361.300781,,,,
MA,National Historic Site,Frederick Law Olmsted,51737.26953,,,,
MA,National Historical Park,Boston,325688.1484,,,,
MA,National Historical Park,Adams,100799.8242,,,,
MA,National Historical Park,Minute Man,7614108.816,,,,
MA,National Historical Park,Lowell,896082.3203,,,,
MA,National Historical Park,New Bedford Whaling,225913.5781,,,,
MA,National Historical Park,Blackstone River Valley,1588474.293,,,,
MA,National Recreation Area,Boston Harbor Islands,16461881.34,,,,
MA,National Seashore,Cape Cod,324147362.4,,,,
MD,National Battlefield,Antietam,22204814.07,,,,
MD,National Battlefield,Monocacy,10994093.72,,,,
MD,National Historic Site,Clara Barton,55817.25,,,,
MD,National Historic Site,Hampton,421003.3242,,,,
MD,National Historic Site,Thomas Stone,2172355.73,,,,
MD,National Historic Trail,NA,1692916.359,,,,
