,d_Des_Tp,Unit_Nm,State_Nm,d_State_Nm,GIS_Acres,type
59,State Park,Homolovi Ruins State Park,AZ,Arizona,740,State Park
60,State Park,Homolovi Ruins State Park,AZ,Arizona,643,State Park
61,State Park,Roper Lake State Park,AZ,Arizona,81,State Park
62,State Park,Lyman Lake State Park,AZ,Arizona,66,State Park
63,State Park,San Rafael Ranch Natural Area,AZ,Arizona,3563,State Park
64,State Park,Patagonia Lake State Park,AZ,Arizona,600,State Park
65,Recreation Management Area,Ben Avery Shooting Facility,AZ,Arizona,1676,"State Preserve, Reserve, or Recreation Area"
66,Recreation Management Area,Mohave County Shooting Range,AZ,Arizona,724,"State Preserve, Reserve, or Recreation Area"
67,Recreation Management Area,Northern Arizona Shooting Range,AZ,Arizona,159,"State Preserve, Reserve, or Recreation Area"
68,Recreation Management Area,Rio Salado Shooting Range,AZ,Arizona,40,"State Preserve, Reserve, or Recreation Area"
69,Recreation Management Area,Sierra Vista Shooting Range,AZ,Arizona,624,"State Preserve, Reserve, or Recreation Area"
70,Recreation Management Area,Three Points Shooting Range,AZ,Arizona,1303,"State Preserve, Reserve, or Recreation Area"
71,State Park,Tri-State Shooting Park,AZ,Arizona,313,State Park
72,State Park,Kartchner Caverns State Park,AZ,Arizona,727,State Park
73,State Park,Cattail Cove State Park,AZ,Arizona,2161,State Park
74,State Park,Dead Horse Ranch State Park,AZ,Arizona,335,State Park
75,State Park,Fort Verde State Historic Park,AZ,Arizona,1,State Park
76,State Park,Fort Verde State Historic Park,AZ,Arizona,10,State Park
77,State Park,Jerome State Historic Park,AZ,Arizona,7,State Park
78,State Park,Lake Havasu State Park,AZ,Arizona,492,State Park
79,State Park,McFarland State Historic Park,AZ,Arizona,2,State Park
80,State Park,Oracle State Park,AZ,Arizona,4121,State Park
81,State Park,Picacho Peak State Park,AZ,Arizona,3461,State Park
82,State Park,Red Rock State Park,AZ,Arizona,282,State Park
83,State Park,Riordan Mansion State Historic Park,AZ,Arizona,5,State Park
84,State Park,Slide Rock State Park,AZ,Arizona,54,State Park
85,State Park,Sonoita Creek Natural Area,AZ,Arizona,5239,State Park
86,State Park,Tombstone Courthouse State Historic Park,AZ,Arizona,4,State Park
87,State Park,Tubac Presidio State Historic Park,AZ,Arizona,8,State Park
88,State Park,Verde River Greenway State Natural Area,AZ,Arizona,647,State Park
89,State Park,Yuma Quartermaster Depot State Historic Park,AZ,Arizona,10,State Park
601,State Park,Woodcutter's Canyon Linear Park,AZ,Arizona,24,State Park
602,State Park,Bidwell Mansion State Park,CA,California,5,State Park
603,State Park,Santa Maria Fair Park,CA,California,36,State Park
604,State Park,Teague Park,CA,California,2,State Park
853,State Park,Mount Tamalpais State Park,CA,California,28,State Park
854,State Historic or Cultural Area,Bodie State Historic Park,CA,California,15,"Historical Park, Site, Monument, or Memorial"
855,State Park,Saddleback Butte State Park,CA,California,87,State Park
856,State Park,San Onofre State Beach,CA,California,2043,State Park
857,State Park,D.L. Bliss State Park,CA,California,1162,State Park
858,State Park,McArthur-Burney Falls Memorial State Park,CA,California,76,State Park
859,State Park,Pfeiffer Big Sur State Park,CA,California,29,State Park
860,State Historic or Cultural Area,California Indian Heritage Center,CA,California,44,"Historical Park, Site, Monument, or Memorial"
861,State Park,Anza-Borrego Desert State Park,CA,California,2607,State Park
862,State Park,Anza-Borrego Desert State Park,CA,California,610,State Park
863,State Park,The Forest of Nisene Marks State Park,CA,California,0,State Park
864,State Park,Plumas-Eureka State Park,CA,California,497,State Park
865,State Park,Leo Carrillo State Park,CA,California,76,State Park
866,State Park,Julia Pfeiffer Burns State Park,CA,California,1879,State Park
867,State Historic or Cultural Area,Fort Ross State Historic Park,CA,California,86,"Historical Park, Site, Monument, or Memorial"
868,State Park,D.L. Bliss State Park,CA,California,393,State Park
869,State Park,Doheny State Beach,CA,California,212,State Park
870,State Park,Emerald Bay State Park,CA,California,716,State Park
871,State Park,MacKerricher State Park,CA,California,452,State Park
872,State Park,Manchester State Park,CA,California,3855,State Park
873,State Park,Morro Bay State Park,CA,California,456,State Park
874,State Park,Refugio State Beach,CA,California,791,State Park
875,State Park,Russian Gulch State Park,CA,California,41,State Park
876,State Park,Salt Point State Park,CA,California,1046,State Park
877,State Park,Silver Strand State Beach,CA,California,7228,State Park
878,State Park,Sonoma Coast State Park,CA,California,573,State Park
879,State Park,Van Damme State Park,CA,California,21,State Park
880,State Historic or Cultural Area,Cemetery Hole Fishing Access,CA,California,21,"Historical Park, Site, Monument, or Memorial"
881,State Park,Mendocino Woodlands State Park,CA,California,651,State Park
882,State Historic or Cultural Area,El Presidio de Santa Barbara State Historic Park,CA,California,6,"Historical Park, Site, Monument, or Memorial"
883,State Historic or Cultural Area,Anderson Marsh State Historic Park,CA,California,1354,"Historical Park, Site, Monument, or Memorial"
884,State Historic or Cultural Area,Antelope Valley Indian Museum,CA,California,162,"Historical Park, Site, Monument, or Memorial"
885,State Historic or Cultural Area,Bale Grist Mill State Historic Park,CA,California,1,"Historical Park, Site, Monument, or Memorial"
886,State Historic or Cultural Area,Benicia Capitol State Historic Park,CA,California,1,"Historical Park, Site, Monument, or Memorial"
887,State Historic or Cultural Area,Bidwell Mansion State Historic Park,CA,California,5,"Historical Park, Site, Monument, or Memorial"
888,State Historic or Cultural Area,Bodie State Historic Park,CA,California,984,"Historical Park, Site, Monument, or Memorial"
889,State Historic or Cultural Area,California Citrus State Historic Park,CA,California,252,"Historical Park, Site, Monument, or Memorial"
890,State Historic or Cultural Area,California Indian Heritage Center,CA,California,8,"Historical Park, Site, Monument, or Memorial"
891,State Historic or Cultural Area,California Mining & Mineral Museum,CA,California,0,"Historical Park, Site, Monument, or Memorial"
892,State Historic or Cultural Area,California State Capitol Museum,CA,California,6,"Historical Park, Site, Monument, or Memorial"
893,State Historic or Cultural Area,Chumash Painted Cave State Historic Park,CA,California,10,"Historical Park, Site, Monument, or Memorial"
894,State Historic or Cultural Area,Colonel Allensworth State Historic Park,CA,California,909,"Historical Park, Site, Monument, or Memorial"
895,State Historic or Cultural Area,Columbia State Historic Park,CA,California,277,"Historical Park, Site, Monument, or Memorial"
896,State Historic or Cultural Area,Empire Mine State Historic Park,CA,California,827,"Historical Park, Site, Monument, or Memorial"
897,State Historic or Cultural Area,Folsom Powerhouse State Historic Park,CA,California,23,"Historical Park, Site, Monument, or Memorial"
898,State Historic or Cultural Area,Fort Humboldt State Historic Park,CA,California,16,"Historical Park, Site, Monument, or Memorial"
899,State Historic or Cultural Area,Fort Ross State Historic Park,CA,California,3303,"Historical Park, Site, Monument, or Memorial"
900,State Historic or Cultural Area,Fort Tejon State Historic Park,CA,California,641,"Historical Park, Site, Monument, or Memorial"
901,State Historic or Cultural Area,Governor's Mansion State Historic Park,CA,California,1,"Historical Park, Site, Monument, or Memorial"
902,State Historic or Cultural Area,Hearst San Simeon State Historical Monument,CA,California,166,"Historical Park, Site, Monument, or Memorial"
903,State Historic or Cultural Area,Indian Grinding Rock State Historic Park,CA,California,132,"Historical Park, Site, Monument, or Memorial"
904,State Historic or Cultural Area,Jack London State Historic Park,CA,California,1469,"Historical Park, Site, Monument, or Memorial"
905,State Historic or Cultural Area,La Purísima Mission State Historic Park,CA,California,1929,"Historical Park, Site, Monument, or Memorial"
906,State Historic or Cultural Area,Leland Stanford Mansion State Historic Park,CA,California,1,"Historical Park, Site, Monument, or Memorial"
907,State Historic or Cultural Area,Los Angeles State Historic Park,CA,California,32,"Historical Park, Site, Monument, or Memorial"
908,State Historic or Cultural Area,Los Encinos State Historic Park,CA,California,5,"Historical Park, Site, Monument, or Memorial"
909,State Historic or Cultural Area,Malakoff Diggins State Historic Park,CA,California,3166,"Historical Park, Site, Monument, or Memorial"
910,State Historic or Cultural Area,Marconi Conference Center State Historic Park,CA,California,57,"Historical Park, Site, Monument, or Memorial"
911,State Historic or Cultural Area,Marsh Creek State Historic Park,CA,California,3679,"Historical Park, Site, Monument, or Memorial"
912,State Historic or Cultural Area,Marshall Gold Discovery State Historic Park,CA,California,569,"Historical Park, Site, Monument, or Memorial"
913,State Historic or Cultural Area,Monterey State Historic Park,CA,California,9,"Historical Park, Site, Monument, or Memorial"
914,State Historic or Cultural Area,Old Sacramento State Historic Park,CA,California,15,"Historical Park, Site, Monument, or Memorial"
915,State Historic or Cultural Area,Old Sacramento State Historic Park,CA,California,41,"Historical Park, Site, Monument, or Memorial"
916,State Historic or Cultural Area,Old Town San Diego State Historic Park,CA,California,20,"Historical Park, Site, Monument, or Memorial"
917,State Historic or Cultural Area,Olompali State Historic Park,CA,California,686,"Historical Park, Site, Monument, or Memorial"
918,State Historic or Cultural Area,Petaluma Adobe State Historic Park,CA,California,42,"Historical Park, Site, Monument, or Memorial"
919,State Historic or Cultural Area,Pigeon Point Light Station State Historic Park,CA,California,80,"Historical Park, Site, Monument, or Memorial"
920,State Historic or Cultural Area,Pío Pico State Historic Park,CA,California,6,"Historical Park, Site, Monument, or Memorial"
921,State Historic or Cultural Area,Point Cabrillo Light Station,CA,California,309,"Historical Park, Site, Monument, or Memorial"
922,State Historic or Cultural Area,Point Montara Light Station,CA,California,1,"Historical Park, Site, Monument, or Memorial"
923,State Historic or Cultural Area,Point Sur State Historic Park,CA,California,100,"Historical Park, Site, Monument, or Memorial"
924,State Historic or Cultural Area,Railtown 1897 State Historic Park,CA,California,21,"Historical Park, Site, Monument, or Memorial"
925,State Historic or Cultural Area,San Juan Bautista State Historic Park,CA,California,6,"Historical Park, Site, Monument, or Memorial"
926,State Historic or Cultural Area,San Pasqual Battlefield State Historic Park,CA,California,70,"Historical Park, Site, Monument, or Memorial"
927,State Historic or Cultural Area,Santa Cruz Mission State Historic Park,CA,California,2,"Historical Park, Site, Monument, or Memorial"
928,State Historic or Cultural Area,Santa Susana Pass State Historic Park,CA,California,682,"Historical Park, Site, Monument, or Memorial"
929,State Historic or Cultural Area,Shasta State Historic Park,CA,California,24,"Historical Park, Site, Monument, or Memorial"
930,State Historic or Cultural Area,Sonoma State Historic Park,CA,California,66,"Historical Park, Site, Monument, or Memorial"
931,State Historic or Cultural Area,State Indian Museum State Historic Park,CA,California,0,"Historical Park, Site, Monument, or Memorial"
932,State Historic or Cultural Area,Sutter's Fort State Historic Park,CA,California,6,"Historical Park, Site, Monument, or Memorial"
933,State Historic or Cultural Area,Tomo-Kahni State Historic Park,CA,California,579,"Historical Park, Site, Monument, or Memorial"
934,State Historic or Cultural Area,Wassama Round House State Historic Park,CA,California,26,"Historical Park, Site, Monument, or Memorial"
935,State Historic or Cultural Area,Weaverville Joss House State Historic Park,CA,California,3,"Historical Park, Site, Monument, or Memorial"
936,State Historic or Cultural Area,Will Rogers State Historic Park,CA,California,188,"Historical Park, Site, Monument, or Memorial"
937,State Historic or Cultural Area,William B. Ide Adobe State Historic Park,CA,California,6,"Historical Park, Site, Monument, or Memorial"
938,State Park,Ahjumawi Lava Springs State Park,CA,California,6507,State Park
939,State Park,Andrew Molera State Park,CA,California,4696,State Park
940,State Park,Angel Island State Park,CA,California,754,State Park
941,State Park,Annadel State Park,CA,California,5112,State Park
942,State Park,Año Nuevo State Park,CA,California,706,State Park
943,State Park,Año Nuevo State Park,CA,California,3043,State Park
944,State Park,Anza-Borrego Desert State Park,CA,California,34662,State Park
945,State Park,Anza-Borrego Desert State Park,CA,California,586446,State Park
946,State Park,Arthur B. Ripley Desert Woodland State Park,CA,California,568,State Park
947,State Park,Asilomar State Beach,CA,California,106,State Park
948,State Park,Bean Hollow State Beach,CA,California,55,State Park
949,State Park,Bidwell-Sacramento River State Park,CA,California,292,State Park
950,State Park,Big Basin Redwoods State Park,CA,California,18220,State Park
951,State Park,Bolsa Chica State Beach,CA,California,203,State Park
952,State Park,Border Field State Park,CA,California,788,State Park
953,State Park,Bothe-Napa Valley State Park,CA,California,1885,State Park
954,State Park,Burleigh H. Murray Ranch,CA,California,1353,State Park
955,State Park,Burton Creek State Park,CA,California,1902,State Park
956,State Park,Butano State Park,CA,California,4537,State Park
957,State Park,Calaveras Big Trees State Park,CA,California,6452,State Park
958,State Park,Cardiff State Beach,CA,California,509,State Park
959,State Park,Carlsbad State Beach,CA,California,34,State Park
960,State Park,Carmel River State Beach,CA,California,298,State Park
961,State Park,Carpinteria State Beach,CA,California,58,State Park
962,State Park,Caspar Headlands State Beach,CA,California,127,State Park
963,State Park,Castle Crags State Park,CA,California,3728,State Park
964,State Park,Castle Rock State Park,CA,California,5395,State Park
965,State Park,Caswell Memorial State Park,CA,California,294,State Park
966,State Park,Cayucos State Beach,CA,California,16,State Park
967,State Park,China Camp State Park,CA,California,1524,State Park
968,State Park,Chino Hills State Park,CA,California,13997,State Park
969,State Park,Clear Lake State Park,CA,California,586,State Park
970,State Park,Crystal Cove State Park,CA,California,4006,State Park
971,State Park,Cuyamaca Rancho State Park,CA,California,24677,State Park
972,State Park,Del Norte Coast Redwoods State Park,CA,California,31316,State Park
973,State Park,Doheny State Beach,CA,California,76,State Park
974,State Park,Donner Memorial State Park,CA,California,3607,State Park
975,State Park,Ed Z'Berg Sugar Pine Point State Park,CA,California,2213,State Park
976,State Park,El Capitán State Beach,CA,California,2647,State Park
977,State Park,Emerald Bay State Park,CA,California,624,State Park
978,State Park,Emma Wood State Beach,CA,California,123,State Park
979,State Park,Estero Bluffs State Park,CA,California,386,State Park
980,State Park,Fort Ord Dunes State Park,CA,California,1039,State Park
981,State Park,Fremont Peak State Park,CA,California,157,State Park
982,State Park,Garrapata State Park,CA,California,2872,State Park
983,State Park,Gaviota State Park,CA,California,2710,State Park
984,State Park,Gray Whale Cove State Beach,CA,California,3,State Park
985,State Park,Great Valley Grasslands State Park,CA,California,2732,State Park
986,State Park,Greenwood State Beach,CA,California,61,State Park
987,State Park,Grizzly Creek Redwoods State Park,CA,California,446,State Park
988,State Park,Grover Hot Springs State Park,CA,California,547,State Park
989,State Park,Half Moon Bay State Beach,CA,California,203,State Park
990,State Park,Harmony Headlands State Park,CA,California,749,State Park
991,State Park,Hearst San Simeon State Park,CA,California,1694,State Park
992,State Park,Hendy Woods State Park,CA,California,828,State Park
993,State Park,Henry Cowell Redwoods State Park,CA,California,4650,State Park
994,State Park,Henry W. Coe State Park,CA,California,87111,State Park
995,State Park,Humboldt Lagoons State Park,CA,California,2213,State Park
996,State Park,Humboldt Redwoods State Park,CA,California,53921,State Park
997,State Park,Huntington State Beach,CA,California,116,State Park
998,State Park,Jedediah Smith Redwoods State Park,CA,California,10549,State Park
999,State Park,Julia Pfeiffer Burns State Park,CA,California,2279,State Park
1000,State Park,Leo Carrillo State Park,CA,California,2466,State Park
1001,State Park,Lighthouse Field State Beach,CA,California,38,State Park
1002,State Park,Limekiln State Park,CA,California,743,State Park
1003,State Park,Little River State Beach,CA,California,213,State Park
1004,State Park,MacKerricher State Park,CA,California,1967,State Park
1005,State Park,Malibu Creek State Park,CA,California,8144,State Park
1006,State Park,Malibu Lagoon State Beach,CA,California,71,State Park
1007,State Park,Manchester State Park,CA,California,1448,State Park
1008,State Park,Mandalay State Beach,CA,California,101,State Park
1009,State Park,Manresa State Beach,CA,California,140,State Park
1010,State Park,Marina State Beach,CA,California,175,State Park
1011,State Park,McArthur-Burney Falls Memorial State Park,CA,California,809,State Park
1012,State Park,McGrath State Beach,CA,California,309,State Park
1013,State Park,Mendocino Headlands State Park,CA,California,7548,State Park
1014,State Park,Montaña de Oro State Park,CA,California,10231,State Park
1015,State Park,Montara State Beach,CA,California,966,State Park
1016,State Park,Monterey State Beach,CA,California,64,State Park
1017,State Park,Monterey State Beach,CA,California,46,State Park
1018,State Park,Morro Bay State Park,CA,California,2325,State Park
1019,State Park,Morro Strand State Beach,CA,California,193,State Park
1020,State Park,Moss Landing State Beach,CA,California,54,State Park
1021,State Park,Mount Diablo State Park,CA,California,18846,State Park
1022,State Park,Mount San Jacinto State Park,CA,California,13572,State Park
1023,State Park,Mount Tamalpais State Park,CA,California,6427,State Park
1024,State Park,Natural Bridges State Beach,CA,California,62,State Park
1025,State Park,Navarro River Redwoods State Park,CA,California,727,State Park
1026,State Park,New Brighton State Beach,CA,California,156,State Park
1027,State Park,Pacheco State Park,CA,California,6941,State Park
1028,State Park,Palomar Mountain State Park,CA,California,1870,State Park
1029,State Park,Patrick's Point State Park,CA,California,640,State Park
1030,State Park,Pelican State Beach,CA,California,9,State Park
1031,State Park,Pescadero State Beach,CA,California,90,State Park
1032,State Park,Pfeiffer Big Sur State Park,CA,California,1329,State Park
1033,State Park,Pismo State Beach,CA,California,1513,State Park
1034,State Park,Plumas-Eureka State Park,CA,California,4504,State Park
1035,State Park,Point Lobos Ranch,CA,California,1116,State Park
1036,State Park,Point Mugu State Park,CA,California,13979,State Park
1037,State Park,Point Sal State Beach,CA,California,127,State Park
1038,State Park,Pomponio State Beach,CA,California,400,State Park
1039,State Park,Portola Redwoods State Park,CA,California,2718,State Park
1040,State Park,Prairie Creek Redwoods State Park,CA,California,13211,State Park
1041,State Park,Red Rock Canyon State Park,CA,California,25352,State Park
1042,State Park,Refugio State Beach,CA,California,139,State Park
1043,State Park,Richardson Grove State Park,CA,California,1805,State Park
1044,State Park,Robert H. Meyer Memorial State Beach,CA,California,37,State Park
1045,State Park,Robert Louis Stevenson State Park,CA,California,5126,State Park
1046,State Park,Russian Gulch State Park,CA,California,1256,State Park
1047,State Park,Saddleback Butte State Park,CA,California,2954,State Park
1048,State Park,Salinas River State Beach,CA,California,287,State Park
1049,State Park,Salt Point State Park,CA,California,4611,State Park
1050,State Park,Samuel P. Taylor State Park,CA,California,2617,State Park
1051,State Park,San Buenaventura State Beach,CA,California,98,State Park
1052,State Park,San Clemente State Beach,CA,California,121,State Park
1053,State Park,San Elijo State Beach,CA,California,553,State Park
1054,State Park,San Gregorio State Beach,CA,California,291,State Park
1055,State Park,San Gregorio State Beach,CA,California,161,State Park
1056,State Park,Schooner Gulch State Beach,CA,California,56,State Park
1057,State Park,Seacliff State Beach,CA,California,114,State Park
1058,State Park,Silver Strand State Beach,CA,California,160,State Park
1059,State Park,Sonoma Coast State Park,CA,California,3374,State Park
1060,State Park,Sonoma Coast State Park,CA,California,5977,State Park
1061,State Park,South Carlsbad State Beach,CA,California,117,State Park
1062,State Park,South Yuba River State Park,CA,California,3678,State Park
1063,State Park,Sugarloaf Ridge State Park,CA,California,4701,State Park
1064,State Park,Sunset State Beach,CA,California,296,State Park
1065,State Park,Sutter Buttes State Park,CA,California,1770,State Park
1066,State Park,The Forest of Nisene Marks State Park,CA,California,9980,State Park
1067,State Park,Thornton State Beach,CA,California,63,State Park
1068,State Park,Tolowa Dunes State Park,CA,California,4199,State Park
1069,State Park,Tomales Bay State Park,CA,California,2474,State Park
1070,State Park,Topanga State Park,CA,California,11440,State Park
1071,State Park,Torrey Pines State Beach,CA,California,8,State Park
1072,State Park,Trinidad State Beach,CA,California,204,State Park
1073,State Park,Twin Lakes State Beach,CA,California,112,State Park
1074,State Park,Van Damme State Park,CA,California,2412,State Park
1075,State Park,Washoe Meadows State Park,CA,California,861,State Park
1076,State Park,Westport-Union Landing State Beach,CA,California,102,State Park
1077,State Park,Wilder Ranch State Park,CA,California,7736,State Park
1078,State Park,Zmudowski State Beach,CA,California,178,State Park
1079,State Wilderness,Sinkyone Wilderness State Park,CA,California,8036,State Wilderness
90,State Park,Wailuku River State Park,HI,Hawaii,2,State Park
91,State Historic or Cultural Area,Kealakekua Bay State Historical Park,HI,Hawaii,222,"Historical Park, Site, Monument, or Memorial"
92,State Historic or Cultural Area,Lapakahi State Historical Park,HI,Hawaii,271,"Historical Park, Site, Monument, or Memorial"
93,State Historic or Cultural Area,Diamond Head State Monument,HI,Hawaii,503,"Historical Park, Site, Monument, or Memorial"
94,State Historic or Cultural Area,Haleki'i-pihana Heiau State Monument,HI,Hawaii,9,"Historical Park, Site, Monument, or Memorial"
95,State Historic or Cultural Area,Kohala Historical Sites State Monument,HI,Hawaii,7,"Historical Park, Site, Monument, or Memorial"
96,State Historic or Cultural Area,Lava Tree State Monument,HI,Hawaii,18,"Historical Park, Site, Monument, or Memorial"
97,State Historic or Cultural Area,Mount Olomanastate Monument,HI,Hawaii,209,"Historical Park, Site, Monument, or Memorial"
98,State Park,'Akaka Falls State Park,HI,Hawaii,66,State Park
99,State Park,Ahukini State Recreation Pier,HI,Hawaii,1,State Park
100,State Park,Ahupuaa O Kahana State Park,HI,Hawaii,12,State Park
101,State Park,Ahupuaa O Kahana State Park,HI,Hawaii,5195,State Park
102,State Park,Aiea Bay State Recreation Area,HI,Hawaii,6,State Park
103,State Park,Ha'ena State Park,HI,Hawaii,236,State Park
104,State Park,Hapuna Beach State Recreatioin Area,HI,Hawaii,2,State Park
105,State Park,Hapuna Beach State Recreation Area,HI,Hawaii,60,State Park
106,State Park,Heeia State Park,HI,Hawaii,13,State Park
107,State Park,Kaena Point State Park,HI,Hawaii,1138,State Park
108,State Park,Kakaako Waterfront Park,HI,Hawaii,26,State Park
109,State Park,Kalopa State Recreation Area,HI,Hawaii,44,State Park
110,State Park,Kaumahina State Wayside,HI,Hawaii,7,State Park
111,State Park,Keaiwa Heiau State Recreation Area,HI,Hawaii,385,State Park
112,State Park,Kekaha Kai State Park,HI,Hawaii,1668,State Park
113,State Park,Keolonahihi State Historical Park,HI,Hawaii,14,State Park
114,State Park,Kilauea State Recreation Area,HI,Hawaii,7,State Park
115,State Park,Koke'e State Park,HI,Hawaii,4373,State Park
116,State Park,Laie Point State Wayside,HI,Hawaii,4,State Park
117,State Park,Mackenzie State Recreation Area,HI,Hawaii,13,State Park
118,State Park,Makapuu Point State Wayside,HI,Hawaii,39,State Park
119,State Park,Makena State Park,HI,Hawaii,168,State Park
120,State Park,Makiki Valley State Recreation Area,HI,Hawaii,19,State Park
121,State Park,Malaekahana State Recreation Area,HI,Hawaii,110,State Park
122,State Park,Manuka State Wayside,HI,Hawaii,13,State Park
123,State Park,Mauna Kea State Park,HI,Hawaii,95,State Park
124,State Park,Na Pali Coast State Park,HI,Hawaii,6021,State Park
125,State Park,Nuuanu Pali State Wayside,HI,Hawaii,1,State Park
126,State Park,Old Kona Airport State Recreation Area,HI,Hawaii,110,State Park
127,State Park,Pala'au State Park,HI,Hawaii,174,State Park
128,State Park,Polihale State Park,HI,Hawaii,148,State Park
129,State Park,Polipoli Spring State Recreation Area,HI,Hawaii,2,State Park
130,State Park,Pua'a Ka'a State Wayside,HI,Hawaii,2,State Park
131,State Park,Puu Ualakea State Wayside,HI,Hawaii,57,State Park
132,State Park,Russian Fort Elizabeth State Historical Park,HI,Hawaii,19,State Park
133,State Park,Sacred Falls State Park,HI,Hawaii,1374,State Park
134,State Park,Salt Pond State Park,HI,Hawaii,8,State Park
135,State Park,Sand Island State Recreation Area,HI,Hawaii,144,State Park
136,State Park,Waahila Ridge State Recreation Area,HI,Hawaii,72,State Park
137,State Park,Wahiawa Freshwater State Recreation Area,HI,Hawaii,67,State Park
138,State Park,Wai'anapanapa State Park,HI,Hawaii,101,State Park
139,State Park,Wailoa River State Recreation Area,HI,Hawaii,129,State Park
140,State Park,Wailua River State Park,HI,Hawaii,1060,State Park
141,State Park,Wailua Valley State Wayside,HI,Hawaii,1,State Park
142,State Park,Wailuku River State Park,HI,Hawaii,14,State Park
143,State Park,Waimea Canyon State Park,HI,Hawaii,1845,State Park
144,State Park,Waimea State Recreation Pier,HI,Hawaii,2,State Park
594,State Park,Laie Point State Wayside,HI,Hawaii,4,State Park
595,State Park,Kaiona Beach Park,HI,Hawaii,26,State Park
596,State Park,Waimanalo Beach Park,HI,Hawaii,96,State Park
599,State Park,Ainaola Park,HI,Hawaii,6,State Park
600,State Park,Kaneohe Beach Park,HI,Hawaii,1,State Park
605,State Historic or Cultural Area,Kukaniloko Birthstones State Monument,HI,Hawaii,5,"Historical Park, Site, Monument, or Memorial"
606,State Park,Ahukini Recreation Pier State Park,HI,Hawaii,1,State Park
607,State Park,Aiea Bay Recreation Area,HI,Hawaii,9,State Park
608,State Park,Bayfront Park,HI,Hawaii,12,State Park
609,State Park,Carlsmith Beach Park,HI,Hawaii,19,State Park
610,State Park,Carvalho,HI,Hawaii,6,State Park
611,State Park,Cove Beach Park,HI,Hawaii,1,State Park
612,State Park,Hale Halawai Park,HI,Hawaii,3,State Park
613,State Park,Honokaa Park,HI,Hawaii,29,State Park
614,State Park,Honokowai Beach Park,HI,Hawaii,2,State Park
615,State Park,Hoolulu Park,HI,Hawaii,28,State Park
616,State Park,Hualani Park,HI,Hawaii,5,State Park
617,State Park,Iao Valley State Park,HI,Hawaii,6,State Park
618,State Park,Kahana Valley State Park,HI,Hawaii,5329,State Park
619,State Park,Kalakaua Park,HI,Hawaii,1,State Park
620,State Park,Kamaole Beach Park II,HI,Hawaii,5,State Park
621,State Park,Kamehameha Iki Park,HI,Hawaii,2,State Park
622,State Park,Kamehameha Park,HI,Hawaii,16,State Park
623,State Park,Kauapea Beach,HI,Hawaii,38,State Park
624,State Park,Kaumana Caves,HI,Hawaii,3,State Park
625,State Park,Kaupuni Neighborhood Park,HI,Hawaii,3,State Park
626,State Park,Keaukaha Beach Park,HI,Hawaii,11,State Park
627,State Park,Launiupoko State Park,HI,Hawaii,1,State Park
628,State Park,Leleiwi Park,HI,Hawaii,2,State Park
629,State Park,Lincoln Park,HI,Hawaii,3,State Park
630,State Park,Lydgate State Park,HI,Hawaii,189,State Park
631,State Park,Malama Park,HI,Hawaii,11,State Park
632,State Park,Mo'Oheau Park,HI,Hawaii,11,State Park
633,State Park,Mohouli Park,HI,Hawaii,4,State Park
634,State Park,Mount Olomana State Monument,HI,Hawaii,209,State Park
635,State Park,Napoopoo Park,HI,Hawaii,5,State Park
636,State Park,Pana'Ewa Park,HI,Hawaii,7,State Park
637,State Park,Puu O Mahuka State Monument,HI,Hawaii,4,State Park
638,State Park,Reeds Bay Beach Co Park,HI,Hawaii,3,State Park
639,State Park,Richardson Ocean Park,HI,Hawaii,4,State Park
640,State Park,Sacred Falls State Park,HI,Hawaii,1374,State Park
641,State Park,University Heights Park,HI,Hawaii,4,State Park
642,State Park,Unknown Park,HI,Hawaii,15,State Park
643,State Park,Wai'Olena Beach Park,HI,Hawaii,4,State Park
644,State Park,Waiahole / Waikane Nature Preserve,HI,Hawaii,587,State Park
645,State Park,Waiahole Beach Park,HI,Hawaii,17,State Park
646,State Park,Wailua River State Park,HI,Hawaii,1095,State Park
647,State Park,Wailuku River State Park,HI,Hawaii,21,State Park
648,State Park,Pearl Ridge Community Park,HI,Hawaii,9,State Park
684,State Historic or Cultural Area,Iolani Palace State Monument,HI,Hawaii,11,"Historical Park, Site, Monument, or Memorial"
685,State Historic or Cultural Area,Royal Mausoleum State Monument,HI,Hawaii,7,"Historical Park, Site, Monument, or Memorial"
686,State Park,Kakaako Waterfront Park,HI,Hawaii,38,State Park
687,State Park,Kewalo Basin Park,HI,Hawaii,5,State Park
688,State Park,Kailua Beach Park,HI,Hawaii,38,State Park
145,State Park,Old Mission State Park,ID,Idaho,47,State Park
146,State Park,Thousand Springs State Park,ID,Idaho,110,State Park
147,State Park,Thousand Springs State Park,ID,Idaho,214,State Park
148,State Historic or Cultural Area,Idaho State Historical Society,ID,Idaho,2,"Historical Park, Site, Monument, or Memorial"
149,State Park,Farragut State Park,ID,Idaho,637,State Park
150,State Park,Veteran's Memorial State Park,ID,Idaho,77,State Park
151,State Park,Bayhorse State Park,ID,Idaho,20,State Park
152,State Park,Bear Lake State Park,ID,Idaho,2,State Park
153,State Park,Bear Lake State Park,ID,Idaho,2,State Park
154,State Park,Bruneau Dunes State Park,ID,Idaho,163,State Park
155,State Park,Coeur d'Alene Parkway State Park,ID,Idaho,10,State Park
156,State Park,Eagle Island State Park,ID,Idaho,512,State Park
157,State Park,Eagle Island State Park,ID,Idaho,5,State Park
